Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
none,1 contribution,2.0 of 5 bubbles,Horrible customer service,The man at the front desk was extremely rude and unprofessional. The room had bugs and did not appear too clean. The location is fine. I would never stay here again especially because of the poor customer service.,June 2022,none,Traveled with friends,none,none,none,none,none,none,none,1,315
6 helpful votes,3 contributions,5.0 of 5 bubbles,"Just 1 day stay, because my trip back home got delayed","This place from the outside seems old, but the rooms arent bad.  It was clean and comfortable.  The room i had, had a large lcd tv and they had on-demand on tv, so that was cool.  The motel is right next to the beginning of Little Saigon, so a lot of shopping and food.  I loved the Pho at a local reservation about a block away, i dont remember the name but its in a large shopping center next to the property.  The staff was very nice and friendly, especially, the guy in the morning.  He told me about the local restaurant and things to do that were walking distance.  I would be back if i ever come back in the area again to visit.",August 2019,"try to get an upper level, so no one is above you",none,none,none,none,none,none,none,none,2,315
4 helpful votes,2 contributions,5.0 of 5 bubbles,nice staff,"staff friendly helped me with my bags to room.  they tell me which bus to take to go to my conference.  room was nice.  tv was nice and it was quite and clean.  they let me store my plants in their garage, that was nice.",September 2019,Top floor next to elevator,Traveled on business,none,4.0 of 5 bubbles,none,none,none,none,none,3,315
none,1 contribution,5.0 of 5 bubbles,A nice basic place,"While this place is not a 4 or 5 star place. It is priced right, provides a clean room and has friendly and helpful staff.  Sam was able to point us to local food spots and provide us directs on where to shop and the local Walmart",October 2018,get a top floor and away from the major street,Traveled with friends,none,none,none,none,none,none,none,4,315
6 helpful votes,2 contributions,1.0 of 5 bubbles,stay elsewhere,"stayed there for 3 days, They asked me to cancel my booking reservation and pay in cash. to avoid extra charges. hmmm. During check in at the front desk, there was few people ahead of me I heard the front desk personnel you can rent rooms for $35 to 65 an hour if you need to shower and handle your business. I stayed in room # 208 with my young daughter 8 years old and around 8 pm I was approached by a female from room number #210 who offered me her services for $120, disgusting.I saw there is so much traffic of people and cars,10 times more cars then rooms and customers.  So I asked the front desk manager/owner for a refund and he refused. They overcharged me for being white and they only cater to the working girls and their Jons,",July 2018,none,Traveled with family,none,none,none,none,none,none,none,5,315
none,1 contribution,4.0 of 5 bubbles,Great Job,This place is nice and clean for a great price.  Staff is very friendly and helpful!  The beds are very comfortable and we even have room access to the outdoor garden patio area with the pool right there.  I would recommend this hotel for anyone especially for families. Only 45 minutes from San Francisco,January 2018,none,Traveled with friends,"Dear  Ashley B,  We are delighted to hear that you had a great stay and that you are strongly recommend us for other travelers. Thank you for giving us the opportunity to recognize our staff for their exemplary work in providing clean and comfortable experience for our valued guests.  Our team will be waiting for your next return for another well-deserved break.",none,none,none,none,none,none,6,315
3 helpful votes,3 contributions,1.0 of 5 bubbles,Avoid at all costs,"Terrible experience at this location. While this is not supposed to be a ""nice"" motel, compared to other Americas Best Value Inns this one seems extremely ghetto. I have stayed at various Americas Best Value Inns around the country mostly when on long road trips if in need an impromptu stay and if other hotel options are not available. The rooms are usually adequate.  The person at the front desk seemed exceptionally rude and did not want to honor the reservation even though there were rooms available. Maybe it was because I was not wearing sport jerseys, did not smoke or did not have tattoos all over my body.",July 2017,none,Traveled solo,"NorcalMoo,  Thank you for your feedback. We sincerely apologize for the service you received from our front desk staff at that time, which made your stay less pleasurable. Your comments will be shared with the hotel management for improvements and we hope you will give us the chance to welcome you back so we may ensure your visit is nothing short of excellent.",none,none,none,none,none,none,7,315
39 helpful votes,16 contributions,4.0 of 5 bubbles,"""AWESOME STAY""","I booked this hotel for 3 days and 2 nights. This hotel was ""AWESOME"" . The room that I had was clean, nice jazcuzzi, and no bugs....Besides that, there wasn't any breakfast at all and the beds are too soft....i enjoyed staying here because the stafff was very friendly and the places are very convenient. It's just 10-15 mins away to the john Wayne airport... I would recommend this hotel to anyone.",September 2017,Room 101 is nice and clean with jacuzzi...,Traveled solo,"Princesscali2013,  It is great to hear from you and I am so glad that you enjoyed our staff courtesy and have taken the time to recognize the hospitality and care that we aim to provide for each and every guest. Your comfort and convenience are our top priorities, and we thank you letting us know how we have been successful in our efforts to impress you. Your recommendation is greatly appreciated and we hope to be of service to you again when you return to the area.",none,none,none,none,none,none,8,315
none,1 contribution,5.0 of 5 bubbles,Great little hotel,"Great little hotel, staff is very friendly and accommodating. Rooms are very clean, beds are very comfortable. For the price it's definitely 5 stars!! you can't beat it!! Will definitely stay at again",April 2017,none,Traveled as a couple,"Dear  beachbums7169,  Thank you for giving us the opportunity to recognize our staff for their exemplary work in providing clean and comfortable experience for our valued guests. Our staff is highly trained to give you an exceptional experience, and to provide our customers the best we can offer in a reasonable price. It means a lot to us that you've allowed us to be such an important part of your family vacation and we thank you for sharing your five star experience!",none,none,none,none,none,none,9,315
1 helpful vote,3 contributions,4.0 of 5 bubbles,Great for the value,"This is not a top tier hotel, but it's clean, easily accessible and the staff was lovely.  I felt completely safe and the window fan kept the sound of the street silent. Only stayed for one night and felt totally safe.",July 2016,none,Traveled with family,"Thank you so much for sharing your review and giving us an honest look at the guest experience in our hotel. I am glad that you enjoyed the value and the convenient location of our hotel! We are delighted by your compliments, rating and review of our high housekeeping and hospitality standards. Your thorough review is greatly appreciated! We are so glad that your stay was enjoyable and we look forward to seeing you again!",none,none,none,none,none,none,10,315
