Helpful Vote,Contributions,Overall Rating,Summary Heading,Summary,Date of Stay,Room tip,Trip Type,Manager Response,Location Rating,Cleanliness Rating,Service Rating,Value Rating,Rooms Rating,Sleep Quality Rating,Review Number,Index
1 helpful vote,2 contributions,5.0 of 5 bubbles,Unexpected delightful stay,"Even though the hotel is under renovations, it was lovely. The room was spacious and clean. The hallways had fans to keep air moving as well as our room.  There was a lot of natural wood, which we love.   The breakfast was outstanding. Hit and cold cereals, yogurt, hot items served to you, including 2 types of eggs, bacon, sausage, pancakes, potatoes, lots of bread and bagel choices with toppings. Excellent! The staff was very friendly. This was a last minute reservation and they were most accommodating.",February 2023,none,Traveled with family,none,none,none,none,none,none,none,1,80
none,1 contribution,5.0 of 5 bubbles,Excellent Experience,Excellent hotel and great staff. Highly recommend. Free breakfast. Quiet. Serene. Clean.  Pool. Jacuzzi.  Enjoyed the rooms. Great service. Very accommodating staff. Overall a great experience. I always there when I visit SOCAL.,December 2022,none,Traveled with family,none,none,none,none,none,none,none,2,80
19 helpful votes,33 contributions,5.0 of 5 bubbles,Great Hotel for a  Weekend Getaway,"My husband and I decided to go for an overnighter in Orange County.  The Ayres Suites Mission Viejo is an easy drive from the Long Beach area.   It is off the freeway up in the foothills.  The hotel has a lovely view.  The rooms are very roomy and comfortable.  The room has a work desk, a microwave, and a small refrigerator.  The hot  breakfast was very good, with a nice variety of choices.  The staff was very friendly and helpful.  I would definitely recommend this hotel.",October 2022,"If you like this hotel, there are other Ayres Hotels in the Southern California area.  You may...",Traveled as a couple,none,5.0 of 5 bubbles,none,none,none,none,none,3,80
none,1 contribution,5.0 of 5 bubbles,Home Away From Home During Remodel,"The 7 plus day rate was excellent, but doesn't count towards frequent stayer program. King size bed more comfortable than our queen size bed at home. The sleeper sofa mattress was not as comfortable. Hot breakfast was included (bacon on Saturdays). Sometimes breakfast was at the hotel next door where you can make your own waffles vs. pancakes. Pet friendly. The staff at the Mission Viejo Ayres Hotel were amazing. We stayed for 20 nights. They provided extra towels, floor mats, sheets, and even utensils one night. The mini fridge worked great and we loved the ice machine for our cooler. Plenty parking spaces. Never got a chance to use the pool or jacuzzi (too hot, ash from fires, too busy). There's vending machine with a great variety of drinks. Didn't use the laundry or gym.",September 2022,ADA rooms available,none,none,none,none,none,none,none,none,4,80
none,1 contribution,5.0 of 5 bubbles,Very nice hotel,Hotel is very clean and spacious. Very good customer service. Love the swimming pool and heated Spa. Breakfast was good. Parking lot is very convenenient. Close to Rancho Santa Margarita and El Toro. Those Tacos were very good.,September 2022,Will recommend to my family and friends. 3rd floor room is very quiet.,none,none,none,none,none,none,none,none,5,80
none,2 contributions,4.0 of 5 bubbles,Our home away from home near our grandson's family,"Ayres recently redecorated the guest rooms and dining area.  I do wish the bed was a little more comfortable though... every time my husband moved I bounced!  They have resumed serving a full breakfast, whereas many other places still have the grab and go, inferior options.  The breakfast options are very good, and the dining area large and very inviting.  We will return each time we are in the area.  Ayres have lovely accommodations for a reasonable price!",August 2022,"There is construction going on behind the hotel, so if you like to sleep in, pick a room on the...",none,none,none,none,none,none,none,none,6,80
none,1 contribution,5.0 of 5 bubbles,CA Visit,"We recently stayed in the Mission Viejo Ayres Hotel. The facility was comfortable, relaxing, and maintained well. We enjoyed time spent by the pool, and it was helpful to start each day with a hot breakfast. All staff members were courteous and pleasant! The location was central to everywhere we wanted to go. We would definitely recommend this hotel and would stay there again, if in the area.",August 2022,none,Traveled with family,none,none,none,none,none,none,none,7,80
none,2 contributions,5.0 of 5 bubbles,Very nice,Excellent facility that met all our needs. Staff was very friendly and helpful. Room exceeded expectations. Complimentary breakfast was freshly prepared and served with a smile. My second visit and I will always stay there when visiting Rancho Santa Margarita.,July 2022,none,Traveled with friends,none,none,none,none,none,none,none,8,80
1 helpful vote,2 contributions,5.0 of 5 bubbles,Anniversary stay,"Emily at front desk was GREAT!  Clean elegant lobby.  Missing hot cookies at night.  Room was clean,  although comforter had small stain.  Wife is a little picky.  Bed should be away from air conditioner (less noise). Shower worked well and was very clean.  Tv good size and selection. Nice art down the hallway and displayed at elevator.  Boutique hotel -Yes.  Breakfast,  more care not to overcook sausage and pancakes, warm tortillas would be nice. Overall well organized  and functional.  Will definitely stay here again.",July 2022,none,Traveled as a couple,none,none,none,none,none,none,none,9,80
1 helpful vote,2 contributions,5.0 of 5 bubbles,Excellent hotel in Mission Viejo,"The Ayres hotel offered breakfast, convenient location, comfortable beds, clean room, and allowed our dog to be with us. Our stay was perfect! The room was immaculately clean, quiet, and had everything we needed. Location was perfect; close to the 241 toll road and also close to restaurants and groceries.",April 2022,none,Traveled as a couple,none,none,none,none,none,none,none,10,80
